;entrydate;title;gender;city;age;salary;experience;last_job;updated;link
100;08.04.2020;Резюме Старший продавец;Мужчина;Москва;27;60;8;ЦУМ, ТД;08.04.2020;https://hh.ru/resume/b4b810810001bd481a0039ed1f664c706c6544
101;08.04.2020;Резюме Супервайзер торговых представителей;Мужчина;Челябинск;36;50;7;ООО Урал-трейд;08.04.2020;https://hh.ru/resume/7fab5e9000039d48690039ed1f6c324c785049
102;08.04.2020;Резюме Супервайзер торговых представителей;Женщина;Краснодар;30;45;7;ОАО Нефис - Косметикс;08.04.2020;https://hh.ru/resume/01fed9aa0006f861a70039ed1f6b6941704731
103;08.04.2020;Резюме менеджер по продажам;Мужчина;Москва;31;50;6;СДЭК;08.04.2020;https://hh.ru/resume/4d73fd2d00011beb9b0039ed1f62486f416562
104;08.04.2020;Резюме Менеджер по развитию бизнеса;Мужчина;Москва;40;150;14;ООО Про-Ламп;08.04.2020;https://hh.ru/resume/2c90f98f0001d7c0930039ed1f6b6177696d39
105;08.04.2020;Резюме Коммерческий директор, Директор по развитию, Руководитель отдела продаж;Мужчина;Москва;36;200;15;ООО Логософт ;08.04.2020;https://hh.ru/resume/740e6b0a00042b455f0039ed1f79534875467a
106;08.04.2020;Резюме Менеджер отдела оптовых продаж;Мужчина;Брянск;41;40;13;"ООО ""Центр вентиляции""";08.04.2020;https://hh.ru/resume/d2ca7db00002b311380039ed1f743557716851
107;08.04.2020;Резюме торговый представитель, менеджер по продажам, кредитный специалист;Женщина;Белогорск;29;40;null;Связной;08.04.2020;https://hh.ru/resume/747a123a00063a62750039ed1f717942326648
108;08.04.2020;Резюме Торговый представитель.;Мужчина;Подольск (Московская область);27;40;null;Action.;08.04.2020;https://hh.ru/resume/2cb7b2bb0001fb701c0039ed1f47504e536c6a
109;08.04.2020;Резюме Менеджер по продажам;Мужчина;Краснодар;24;45;null;"ЗАО ""Чип и Дип""";08.04.2020;https://hh.ru/resume/0a813e72000410eba60039ed1f70514f473133
110;08.04.2020;Резюме Ведущий менеджер по продажам;Мужчина;Саратов;39;50;16;"АО ""Русагротранс""";08.04.2020;https://hh.ru/resume/345d3dda00041201ae0039ed1f334549434b35
111;08.04.2020;Резюме Торговый представитель, менеджер по продажам, агент, консультант, менеджер по работе с клиентами;Женщина;Дубна;35;35;9;Индивидуальный предприниматель Галушко Игорь Викторович;08.04.2020;https://hh.ru/resume/f19215c40007e1d62c0039ed1f695252507136
112;08.04.2020;Резюме Торговый представитель, менеджер по продажам, супервайзер;Мужчина;Ступино;31;65;7;МИР ИНСТРУМЕНТА (Москва);08.04.2020;https://hh.ru/resume/52f94a1c000121407e0039ed1f534339617779
113;08.04.2020;Резюме Менеджер;Мужчина;Москва;26;70;7;сеть автосервисов Вилгуд;08.04.2020;https://hh.ru/resume/921d242500071a45300039ed1f676736723035
114;08.04.2020;Резюме Торговый представитель;Женщина;Краснодар;34;35;11;Магазин Karl Lagerfeld;08.04.2020;https://hh.ru/resume/11b8ba79000199c0a70039ed1f4b3453734f6b
115;08.04.2020;Резюме Менеджер по выкупу и продажам автомобилей с пробегом;Мужчина;Нижний Новгород;23;80;5;ЛУИДОР, ООО;08.04.2020;https://hh.ru/resume/251861170006691c330039ed1f434e386d7576
116;08.04.2020;Резюме Региональный менеджер по развитию;Мужчина;Ставрополь;47;50;17;"ЗАО ""ДИГС Групп""";08.04.2020;https://hh.ru/resume/e946e5440000cd1d340039ed1f593365315077
117;08.04.2020;Резюме Торговый представитель;Мужчина;Краснодар;27;40;6;"ООО ""Мдк""";08.04.2020;https://hh.ru/resume/90efaea000043fb5840039ed1f5969576d5748
118;08.04.2020;Резюме Мастер-универсал;Мужчина;Красноярск;23;35;null;Balmasalfa ;08.04.2020;https://hh.ru/resume/718ab9420004090d230039ed1f357766484856
119;08.04.2020;Резюме Менеджер;Мужчина;Москва;26;70;7;сеть автосервисов Вилгуд;08.04.2020;https://hh.ru/resume/921d242500071a45300039ed1f676736723035
120;08.04.2020;Резюме Торговый представитель;Женщина;Краснодар;34;35;11;Магазин Karl Lagerfeld;08.04.2020;https://hh.ru/resume/11b8ba79000199c0a70039ed1f4b3453734f6b
121;08.04.2020;Резюме Менеджер по выкупу и продажам автомобилей с пробегом;Мужчина;Нижний Новгород;23;80;5;ЛУИДОР, ООО;08.04.2020;https://hh.ru/resume/251861170006691c330039ed1f434e386d7576
122;08.04.2020;Резюме Региональный менеджер по развитию;Мужчина;Ставрополь;47;50;17;"ЗАО ""ДИГС Групп""";08.04.2020;https://hh.ru/resume/e946e5440000cd1d340039ed1f593365315077
123;08.04.2020;Резюме Торговый представитель;Мужчина;Краснодар;27;40;6;"ООО ""Мдк""";08.04.2020;https://hh.ru/resume/90efaea000043fb5840039ed1f5969576d5748
124;08.04.2020;Резюме Мастер-универсал;Мужчина;Красноярск;23;35;null;Balmasalfa ;08.04.2020;https://hh.ru/resume/718ab9420004090d230039ed1f357766484856
125;08.04.2020;Резюме Торговый представитель;Мужчина;Москва;35;100;12;Индивидуальное предпринимательство / частная практика / фриланс;08.04.2020;https://hh.ru/resume/fa7f373e0007e7d46c0039ed1f4f4144614774
126;08.04.2020;Резюме Руководитель отдела по продажам;Мужчина;Краснодар;34;60;6;Азбука Квартир;08.04.2020;https://hh.ru/resume/339e70500006094ed50039ed1f4b4c50724957
127;08.04.2020;Резюме менеджер;Мужчина;Щелково;39;50;11;ООО Зуб.ру;08.04.2020;https://hh.ru/resume/663913ff0004d9261d0039ed1f73423257554c
128;08.04.2020;Резюме Координатор отдела продаж;Женщина;Королев;49;40;19;Оптовая и сетевая продажа инструмента;08.04.2020;https://hh.ru/resume/8121d3170007db6a760039ed1f6a73594e3148
129;08.04.2020;Резюме Оператор отдела продаж, оператор 1с (в офис), помощник менеджера по продажам;Женщина;Москва;38;50;16;"ООО ""Акцентмед""";08.04.2020;https://hh.ru/resume/f95b32f30004d5068e0039ed1f356141616965
130;08.04.2020;Резюме Директор по продажам;Мужчина;Москва;36;265;12;Inchcape Jaguar Land Rover;08.04.2020;https://hh.ru/resume/2163cdc80005de0c440039ed1f547242484d5a
131;08.04.2020;Резюме Продавец-консультант;Мужчина;Москва;0;60;null;Л'Этуаль;08.04.2020;https://hh.ru/resume/dfba1ee40005bee62c0039ed1f306775676446
